,cod_original,produto,preco_entrada,disponivel,total,data
642,100.110.2255,DNMG150612-QM-GP1120,16.56,50.0,828.0,2021-02-01
643,216.0,5513.020-01 VBMT16,4.0,1.0,4.0,2021-02-01
644,2754/001,BARRA DE CHANFRAR 45º - BM01R1522,180.0,1.0,180.0,2021-02-01
645,100.150.0362,MCA145-025R02W25-SP09HA D=25 SPMT09T308-CM,103.02,1.0,103.02,2021-02-01
646,100.150.0576,MFB288-080R07A27-SN12HA D=80 SN*U1206,691.74,1.0,691.74,2021-02-01
647,100.110.3340,QTD1604-GA4225,56.4,2.0,112.8,2021-02-01
648,100.110.2744,HNMU0906ANEN-GH-GM2140 - OBS: 0906,33.35,10.0,333.5,2021-02-01
649,100.130.0213,UP210-RH4-08005 TOROIDAL 4C D=8X20X100X8 R0.5,61.21,1.0,61.21,2021-02-01
650,100.150.1055,GHD-190-5D-FC25-Q06ADB D=19 5XD QPMG060204,511.83,1.0,511.83,2021-02-01
651,5880399.0,40110600T028 ESF 2C 30° D=6X6X76X28,62.37,2.0,124.74,2021-02-01
652,5826016.0,40040100T004 RETA 4C 30° D=1X3X38X4,26.79,8.0,214.32,2021-02-01
653,100.110.3344,QTD2005-GA4225,65.59,6.0,393.54,2021-02-01
654,100.130.1848,SH260-BH2-12-100-H ESFERICA 2C D=12X18X100X12,188.3,1.0,188.3,2021-02-01
655,100.130.1852,SH260-BH2-1-75-H-6-F ESFERICA 2C D=1X2X75X6,68.44,1.0,68.44,2021-02-01
656,100.130.1814,SH260-BH2-2-60-H ESFERICA 2C D=2X3X60X4,51.27,3.0,153.81,2021-02-01
657,100.130.1816,"SH260-BH2-3-60-H ESFERICA 2C D=3X4,5X60X4",51.27,5.0,256.35,2021-02-01
658,100.130.1817,SH260-BH2-4-75-H ESFERICA 2C D=4X6X75X4,53.68,3.0,161.04,2021-02-01
659,100.130.1822,"SH260-BH2-5-60-H ESFERICA 2C D=5X7,5X60X6",59.86,10.0,598.6,2021-02-01
660,100.130.1826,SH260-BH2-6-75-H ESFERICA 2C D=6X9X75X6,65.95,10.0,659.5,2021-02-01
661,100.130.1835,SH260-BH2-8-75-H ESFERICA 2C D=8X12X75X8,88.62,4.0,354.48,2021-02-01
662,100.130.2033,SH260-R4-4-0.5-H TOROIDAL 4C D=4X10X50X4 R0.5,50.9,5.0,254.5,2021-02-01
663,100.130.2041,SH260-R4-5-0.5-H TOROIDAL 4C D=5X13X50X6 R0.5,60.68,10.0,606.8,2021-02-01
664,100.130.2051,SH260-R4-6-0.5-H TOROIDAL 4C D=6X15X50X6 R0.5,60.68,5.0,303.4,2021-02-01
665,100.130.2061,SH260-R4-8-0.5-H TOROIDAL 4C D=8X20X60X8 R0.5,86.88,3.0,260.64,2021-02-01
666,100.130.2072,SH260-R4A-10-0.5-H TOROIDAL 4C D=10X25X75X10 R0.5,139.44,1.0,139.44,2021-02-01
667,100.130.2123,SH260-RH4-4-75-0.5-H TOROIDAL 4C D=4X10X75X4 R0.5,55.04,10.0,550.4,2021-02-01
668,100.130.2132,SH260-RH4-5-60-0.5-H TOROIDAL 4C D=5X13X60X6 R0.5,66.93,10.0,669.3,2021-02-01
669,5873498.0,40020500T014 RETA 2C 30° D=5X6X50X14,44.54,1.0,44.54,2021-02-01
670,100.130.2085,SH260-R4-12-0.5-H TOROIDAL 4C D=12X30X75X12 R0.5,175.65,1.0,175.65,2021-02-01
671,100.110.3760,SCMT09T304-GP-GP1115,9.36,20.0,187.2,2021-02-01
672,100.130.1778,SH260-B2-3-4.5-H ESFERICA 2C D=3X4.5X50X4,47.58,2.0,95.16,2021-02-01
673,100.130.1792,SH260-B2-8-12-H ESFERICA 2C D=8X12X60X8,81.16,7.0,568.12,2021-02-01
674,100.130.1794,SH260-B2-10-15-H ESFERICA 2C D=10X15X75X10,139.59,2.0,279.18,2021-02-01
675,4148169.0,VDS202A04500 WU25PD D=4.5 5XD SEM REFRI,117.48,2.0,234.96,2021-02-01
676,100.130.0672,SP210-S4-10025 RETA 4C D=10X25X75X10,123.32,2.0,246.64,2021-02-01
677,100.130.0663,SP210-S4-08020 RETA 4C D=8X20X60X8,70.25,2.0,140.5,2021-02-01
678,100.130.0654,SP210-S4-06016 RETA 4C D=6X16X50X6,44.2,1.0,44.2,2021-02-01
679,100.110.4080,SNEU1206ANSN-GH-GK2115,20.62,20.0,412.4,2021-02-01
680,5551202.0,FRESA TOROIDAL 55HRC 4C D=12X45X100X12 R0.5,253.36,1.0,253.36,2021-02-01
681,100.110.0956,CNMA120408-GK1115,12.67,9.0,114.03,2021-02-01
682,47987.0,SVJBR 2525 M11,161.5,2.0,323.0,2021-02-01
683,100.130.2142,SH260-RH4-6-75-0.5-H TOROIDAL 4C D=6X15X75X6 R0.5,70.17,10.0,701.7,2021-02-01
684,APTK0610,SUPORTE APKT06 D=10 Z2 H9.8 L130,126.0,1.0,126.0,2021-02-01
685,4148984.0,TDS413A12500 WK15PD D=12.5 8XD COM REFRI,793.74,1.0,793.74,2021-02-01
686,100.130.2162,SH260-RH4-8-75-0.5-H TOROIDAL 4C D=8X20X75X8 R0.5,97.5,5.0,487.5,2021-02-01
687,100.130.2169,SH260-RH4-8-75-1-H TOROIDAL 4C D=8X20X75X8 R1,97.5,10.0,975.0,2021-02-01
688,100.130.2179,SH260-RH4A-10-100-0.5-H TOROIDAL 4C D=10X25X100X10 R0.5,171.66,2.0,343.32,2021-02-01
689,4148153.0,"VDS202A03600 WU25PD D=3,6 5XD SEM REFRI",115.41,2.0,230.82,2021-02-01
690,100.130.2185,SH260-RH4A-10-100-1-H TOROIDAL 4C D=10X25X100X10 R1,171.66,5.0,858.3,2021-02-01
691,100.130.2322,"SH260-S4-1-2.5-H RETA 4C D=1X2,5X50X4",44.2,5.0,221.0,2021-02-01
692,100.130.2328,SH260-S4-2-5-H RETA 4C D=2X5X50X4,44.2,5.0,221.0,2021-02-01
693,100.130.2335,SH260-S4-3-8-H RETA 4C D=3X8X50X4,44.2,15.0,663.0,2021-02-01
694,100.130.2339,SH260-S4-4-10-H RETA 4C D=4X10X50X4,44.2,5.0,221.0,2021-02-01
695,100.130.2343,SH260-S4-5-13-H RETA 4C D=5X13X50X6,52.78,10.0,527.8,2021-02-01
696,100.130.2352,SH260-S4-8-20-H RETA 4C D=8X20X60X8,71.21,6.0,427.26,2021-02-01
697,100.130.2358,SH260-S4A-10-25-H RETA 4C D=10X25X75X10,114.37,2.0,228.74,2021-02-01
698,100.130.2365,SH260-S4A-12-30-H RETA 4C D=12X30X75X12,152.69,2.0,305.38,2021-02-01
699,100.130.2375,SH260-S4A-16-45-H RETA 4C D=16X45X100X16,335.04,1.0,335.04,2021-02-01
700,100.130.2571,SH260-SH6-6-60-H RETA 6C D=6X15X60X6,69.87,4.0,279.48,2021-02-01
701,100.130.0756,SH260-SH6-8-75-H RETA 6C D=8X20X75X8,85.98,4.0,343.92,2021-02-01
702,100.130.2569,SH260-SL6-16-80-H RETA 6C D=16X80X150X16,515.51,3.0,1546.53,2021-02-01
703,100.130.2989,SH300-BN2-06015F-H ESFERICA 2C D=6X15X75X6,123.17,2.0,246.34,2021-02-01
704,100.130.2992,SH300-BN2-08020E-H ESFERICA 2C D=8X20X75X8,151.63,2.0,303.26,2021-02-01
705,100.130.3081,SH300-R4-06005-H TOROIDAL 4C D=6X15X50X6 R0.5,123.02,2.0,246.04,2021-02-01
706,100.130.3086,SH300-R4-08005E-H TOROIDAL 4C D=8X20X75X8 R0.5,157.58,2.0,315.16,2021-02-01
707,100.195.0021,"SI60M025080-03510H PARAFUSO 2,5X8",3.29,30.0,98.7,2021-02-01
708,APTK0612,SUPORTE APKT06 D=12 Z2 H11 L120,126.0,2.0,252.0,2021-02-01
709,APTK0608,SUPORTE APKT06 D=8 Z1 H7.8 L100,115.0,1.0,115.0,2021-02-01
710,100.110.6588,WNMG080408-HK-GK1125,13.25,20.0,265.0,2021-02-01
711,100.110.5268,TNMG160404-UK-GK1115,11.26,6.0,67.56,2021-02-01
712,4158500.0,GT225021 WP31MG MACHO M10 X 1.5,310.11,2.0,620.22,2021-02-01
713,100.110.1924,DNMG110404-QM-GP1225,8.53,9.0,76.77,2021-02-01
714,5671.0,DGR2202C SF100,23.2,20.0,464.0,2021-02-01
715,100.195.0052,"SI60M040110-05510IS PARAFUSO 4,0X11",10.41,30.0,312.3,2021-02-01
716,4156888.0,TDS413A11000 WK15PD D=11 8XD COM REFRI,601.11,2.0,1202.22,2021-02-01
717,4157043.0,TDS413A06000 WK15PD D=6 8XD COM REFRI,341.85,2.0,683.7,2021-02-01
718,100.110.0273,ANKX160716R-GM-GA4225,24.1,30.0,723.0,2021-02-01
719,5276364.0,RNPJ1204M0SMH WP25PM,26.17,2.0,52.34,2021-02-01
720,100.150.0364,MCA145-032R03W32-SP12HA D=32 SPMT120408-CM,158.32,1.0,158.32,2021-02-01
721,100.110.4745,SPMT120408-CM-GA4225,9.28,30.0,278.4,2021-02-01
722,100.195.0070,"SI60M050140-07010B PARAFUSO 5,0X14",16.27,50.0,813.5,2021-02-01
723,100.110.4098,SNEU1206ZNEN-GM-GM2140,22.86,20.0,457.2,2021-02-01
724,100.110.4100,SNEU1206ZNEN-GM-GP4225,20.62,40.0,824.8,2021-02-01
725,100.110.4881,TCGX16T304-AL-GN9120,14.41,10.0,144.1,2021-02-01
726,100.110.5230,TNMG160404-QF-GP1115,11.26,12.0,135.12,2021-02-01
727,100.110.5272,TNMG160404-YF-GM3220,12.34,51.0,629.34,2021-02-01
728,100.110.5343,TNMG160408-QM-GP1115,11.26,20.0,225.2,2021-02-01
729,100.110.5379,TNMG160408-YF-GM3220,12.34,45.0,555.3,2021-02-01
730,100.110.5540,TNMX160408-WMV-GP1105,12.92,61.0,788.12,2021-02-01
731,100.110.5595,TPGH110304L-P-GS3125,15.24,5.0,76.2,2021-02-01
732,100.110.5634,TPKN2204PDL-GA4225,13.0,30.0,390.0,2021-02-01
733,100.110.5647,TPKR1603PPTR-GA4225,13.67,20.0,273.4,2021-02-01
734,100.193.009,TT08PD CHAVE TORX T8,8.1,8.0,64.8,2021-02-01
735,100.193.023,TT15PD CHAVE TORX T15,4.48,4.0,17.92,2021-02-01
736,100.193.038,TT20TQS CHAVE TORX T20,21.94,10.0,219.4,2021-02-01
737,100.130.0084,UP210-B2-01002 ESFERICA 2C D=1X2X50X4,26.05,7.0,182.35,2021-02-01
738,100.130.0088,UP210-B2-02004 ESFERICA 2C D=2X4X50X4,26.05,4.0,104.2,2021-02-01
739,100.130.0092,UP210-B2-03006 ESFERICA 2C D=3X6X50X4,26.05,3.0,78.15,2021-02-01
740,100.130.0480,UP210-B2-05010 ESFERICA 2C D=5X10X50X6,33.43,14.0,468.02,2021-02-01
741,100.130.0484,UP210-B2-07014 ESFERICA 2C D=7X14X60X8,54.51,13.0,708.63,2021-02-01
742,100.130.0486,UP210-B2-08014 ESFERICA 2C D=8X14X60X8,54.51,4.0,218.04,2021-02-01
743,100.130.0101,UP210-B2-10018 ESFERICA 2C D=10X18X75X10,108.19,4.0,432.76,2021-02-01
744,100.130.0103,UP210-B2-12022 ESFERICA 2C D=12X22X75X12,128.14,5.0,640.7,2021-02-01
745,201610.0,UD30.SP06.190.W25 D=19 3XD SPMG06,510.0,1.0,510.0,2021-02-01
746,100.110.6420,WNMG060408-QM-GP1115,10.68,50.0,534.0,2021-02-01
747,4148319.0,VDS202A12500 WU25PD D=12.5 5XD SEM REFRI,292.53,1.0,292.53,2021-02-01
748,100.110.6415,WNMG060408-QF-GP1115,10.68,10.0,106.8,2021-02-01
749,100.110.1457,CNMG190616-QM-GP1225,28.9,10.0,289.0,2021-02-01
750,162011.0,MGEHL 2020 2T17 - EXT ESQ MGM2 (GKD 2),100.0,1.0,100.0,2021-02-01
751,3669.0,SUPORTE APKT1135 D=12 Z1 H12 L130,121.05,3.0,363.15,2021-02-01
752,100.110.6328,WNGU040308-GM-GS4130,32.3,20.0,646.0,2021-02-01
753,100.110.0205,22ERN60-TC-GM3225,17.58,10.0,175.8,2021-02-01
754,190221.0,DNMG150608-PM UN1000,21.74,10.0,217.4,2021-02-01
755,5825557.0,40000400T014 ESF 4C 30° D=4X4X50X12,52.15,6.0,312.9,2021-02-01
756,100.130.2178,SH260-RH4-10-100-0.5-H TOROIDAL 4C D=10X25X100X10,166.69,2.0,333.38,2021-02-01
757,6126890.0,RNMU1205-ML TT2510,28.14,20.0,562.8,2021-02-01
758,7941.0,SUPORTE LNMU0906 D=32 M16 Z5 (MKC190) ROSCADO,253.0,1.0,253.0,2021-02-01
759,100.110.4899,TCMT090204-GP-GP1225,7.37,10.0,73.7,2021-02-01
760,BAP300D50,BAP300RD50Z06F22 APMT1135,200.0,1.0,200.0,2021-02-01
761,271120.0,CNHT060408 RW1325,28.7,10.0,287.0,2021-02-01
762,100.110.4767,TBGT060102L-P-GS3125,19.79,10.0,197.9,2021-02-01
763,100.110.1954,DNMG110408-QM-GP1225,8.53,10.0,85.3,2021-02-01
764,100.120.0857,D938-A5N-1100 D=11 5XD S/ REFRI,135.06,2.0,270.12,2021-02-01
765,4152703.0,GT025006 WP31MG MACHO M10X1.5 (6H) 3F DIN 371,123.55,1.0,123.55,2021-02-01
766,T7000C,CHAVE TORX 7 - CABO,10.0,2.0,20.0,2021-02-01
767,T8000C,CHAVE TORX 8 - CABO,10.0,2.0,20.0,2021-02-01
768,T9000C,CHAVE TORX 9 - CABO,10.0,2.0,20.0,2021-02-01
769,T1000C,CHAVE TORX 10 - CABO,10.0,1.0,10.0,2021-02-01
770,T1500C,CHAVE TORX 15 - CABO,10.0,2.0,20.0,2021-02-01
771,100.120.0660,D938-A5N-0450 D=4.5 5XD S/ REFRI,80.67,1.0,80.67,2021-02-01
772,HE0014,FLANGE DIAMETRO 6 - 250MM,915.0,1.0,915.0,2021-02-01
773,"PTM4,5X12","PARAFUSO TORX M4,5 X 12",1.65,10.0,16.5,2021-02-01
774,27540.0,WCMX050308-FN KBG202 KCT,18.5,20.0,370.0,2021-02-01
775,100.130.0112,UP210-BH2-04008 ESFERICA 2C D=4X8X75X4,28.46,13.0,369.98,2021-02-01
776,"PTM2,2X5","PARAFUSO TORX M2,2 X 5",1.65,14.0,23.1,2021-02-01
777,5498.0,SVJBL 2525 M11,101.45,2.0,202.9,2021-02-01
778,6568512.0,024111-000040 K10F-DIA ESF 2C 20° D=4X6X20X65X4,250.45,11.0,2754.95,2021-02-01
779,5612619.0,RNMU1205-ML TT9080,28.14,20.0,562.8,2021-02-01
780,4166576.0,VBMT110304-1P TN20P,21.41,50.0,1070.5,2021-02-01
781,4152639.0,GT025002 WP31MG MACHO M4X0.7 (6H) 3F DIN 371,115.65,1.0,115.65,2021-02-01
782,3462464.0,47N708013LT RETA 4C VARIMILL D=8X8X63X16 R1.0,116.89,1.0,116.89,2021-02-01
783,5910033.0,HNEC0905ANSN WK25YM,47.03,5.0,235.15,2021-02-01
784,5675L,FRESA ESFERICA 45HRC 2C D=5X6X76X14 LONGA,35.0,9.0,315.0,2021-02-01
785,5826031.0,40240500T031 RETA 4C 30° D=5X5X100X31,56.5,6.0,339.0,2021-02-01
786,6092639.0,40020800T028S RETA 2C 30° D=8X8X76X28,58.81,2.0,117.62,2021-02-01
787,4171899.0,WNMA060412 WK20CT,18.61,20.0,372.2,2021-02-01
788,100.110.6530,WNMG080404-QF-GP1115,12.75,20.0,255.0,2021-02-01
789,100.110.6694,WNMG080408-WMV-GP1105,15.16,9.0,136.44,2021-02-01
790,100.110.6699,WNMG080408-YF-GM3225,12.75,20.0,255.0,2021-02-01
791,5576.0,LNMU120705 (BLMP0904R-M SF325U),16.98,20.0,339.6,2021-02-01
792,02071P,"PORTA FRESA FACEAR SK 50 X 32,00MM (L1=160,00MM) - 12.000RPM",477.19,1.0,477.19,2021-02-01
793,3669645.0,"606249 SCREW BHCS M5X0,8X12",2.79,18.0,50.22,2021-02-01
794,4675L,FRESA ESFERICA 45HRC 2C D=4X6X75X11 LONGA,35.0,1.0,35.0,2021-02-01
795,100.130.0499,UP210-BH2-06012 ESFERICA 2C D=6X12X75X6,40.96,8.0,327.68,2021-02-01
796,10035.0,TPGH090202L OP1205H,20.4,2.0,40.8,2021-02-01
797,100.130.0183,UP210-R4-03005 TOROIDAL 4C D=3X9X50X4 R0.5,25.3,9.0,227.7,2021-02-01
798,100.130.0187,UP210-R4-04005 TOROIDAL 4C D=4X11X50X4 R0.5,25.3,8.0,202.4,2021-02-01
799,100.130.0194,UP210-R4-05005 TOROIDAL 4C D=5X13X50X6 R0.5,34.41,15.0,516.15,2021-02-01
800,100.130.0555,UP210-R4-08005 TOROIDAL 4C D=8X20X60X8 R0.5,54.51,5.0,272.55,2021-02-01
801,100.130.1227,UP210-R4-12005 TOROIDAL 4C D=12X30X75X12 R0.5,127.01,7.0,889.07,2021-02-01
802,100.130.0277,UP210-S4-01003 RETA 4C D=1X3X50X4,19.05,10.0,190.5,2021-02-01
803,100.130.0281,UP210-S4-02006 RETA 4C D=2X6X50X4,19.05,7.0,133.35,2021-02-01
804,100.130.0285,UP210-S4-03009 RETA 4C D=3X9X50X4,19.05,13.0,247.65,2021-02-01
805,100.130.0289,UP210-S4-04011 RETA 4C D=4X11X50X4,19.05,17.0,323.85,2021-02-01
806,100.130.0660,UP210-S4-07020 RETA 4C D=7X20X60X8,47.21,17.0,802.57,2021-02-01
807,100.130.1462,UP210-S4-20045 RETA 4C D=20X45X100X20,326.46,1.0,326.46,2021-02-01
808,100.110.5837,VBMT160404-GP-GP1115,18.14,39.0,707.46,2021-02-01
809,100.110.5866,VBMT160408-GP-GP1225,18.14,10.0,181.4,2021-02-01
810,100.110.6315,WNGU040304-GM-GA4230,32.3,50.0,1615.0,2021-02-01
811,100.110.6336,WNGU080608-GM-GA4230,34.78,40.0,1391.2,2021-02-01
812,100.110.6342,WNGU080608-GM-GS4130,34.78,20.0,695.6,2021-02-01
813,100.110.6404,WNMG060408-GM-GP1225,10.27,10.0,102.7,2021-02-01
814,4148201.0,VDS202A06600 WU25PD D=6.6 5XD SEM REFRI,124.37,2.0,248.74,2021-02-01
815,2525M16,MTENN 2525 M16,101.0,1.0,101.0,2021-02-01
816,162.0,FRESA ESFERICA 55HRC 2C D=3X6X75X8,60.5,4.0,242.0,2021-02-01
817,3101 - 310520,"BROCA 5,20MM DIN 338N HSS",5.78,1.0,5.78,2021-02-01
0,3101 - 311050,"BROCA 10,50MM DIN 338N HSS",21.15,3.0,63.45,2021-03-01
1,3681081.0,CHAVE TORX 10 - 12749726200,15.97,1.0,15.97,2021-03-01
2,T15000,CHAVE TORX 15,4.0,11.0,44.0,2021-03-01
3,T20000,CHAVE TORX 20,3.8,6.0,22.8,2021-03-01
4,T60000,CHAVE TORX 6,3.8,14.0,53.2,2021-03-01
5,T70000,CHAVE TORX 7,3.8,10.0,38.0,2021-03-01
6,T90000,CHAVE TORX 9,4.0,10.0,40.0,2021-03-01
7,2559805.0,CNMA120412 HK1500,13.44,9.0,120.96,2021-03-01
8,1915.0,"PINCA DMC08 3,00MM  (KOJEX)",173.96,1.0,173.96,2021-03-01
9,1793.0,PORTA PINCA BT 40 X DMC 06 (L=90MM) (L1=45MM)-30.000RPM (KOJEX),511.6,1.0,511.6,2021-03-01
10,3851013.0,"TDM1928UPM WU25PD INSERTO TDM1 D=19,28",228.24,4.0,912.96,2021-03-01
11,3849113.0,TDM1680UPM WU25PD INSERTO TDM1 D=16.80,204.56,1.0,204.56,2021-03-01
12,152.0,FRESA ESFERICA 55HRC 2C D=1X4X50X2,23.65,4.0,94.6,2021-03-01
13,423.0,FRESA RETA 55HRC 4C D=2X6X50X4,28.62,1.0,28.62,2021-03-01
14,18146.0,170.38.820 - CONJUNTO GRAMPO PARAFUSO MTJ16,33.55,12.0,402.6,2021-03-01
15,603.0,FRESA RETA 55HRC 4C D=4X4X75X11,28.0,1.0,28.0,2021-03-01
16,TNMG160412-GR,TNMG160412-GR WS8125,14.0,10.0,140.0,2021-03-01
17,SPMG05,SPMG050204-DG WS5231,18.0,4.0,72.0,2021-03-01
18,30050.0,M200D50Z04F22 D=50 Z=4 RNPJ12,100.0,13.0,1300.0,2021-03-01
19,6143.0,M1200D080Z06NH09 D=80 Z=6 M1200 HNMU09,529.0,3.0,1587.0,2021-03-01
20,PTM4X10,PARAFUSO TORX M4 X 10,1.65,44.0,72.6,2021-03-01
21,1163.0,PINO FIXACAO BT 40 - 45G - SEM REFRIGERACAO INTERNA,17.34,34.0,589.56,2021-03-01
22,230.0,FRESA RETA 45HRC 2C D=3X3X50X8,17.45,1.0,17.45,2021-03-01
23,4172623.0,TNMP160408 WS25PT,17.39,4.0,69.56,2021-03-01
24,1918.0,"PINCA DMC08 8,00MM (KOJEX)",173.96,1.0,173.96,2021-03-01
25,1917.0,"PINCA DMC08 6,00MM (KOJEX)",173.96,1.0,173.96,2021-03-01
26,333125.0,"BROCA DE CENTRO - DIN 333A - 1,25X3,15MM",5.32,7.0,37.24,2021-03-01
27,4173670.0,TNMP160404 WM25CT,17.39,2.0,34.78,2021-03-01
28,3101 - 310250,"BROCA 2,50MM DIN 338N HSS",3.55,1.0,3.55,2021-03-01
29,3850907.0,TDM085R5SCF12M WG,494.18,1.0,494.18,2021-03-01
30,230620.0,MTJNL 2020 K16 - EXT ESQ TNMG1604,90.0,1.0,90.0,2021-03-01
31,"PTM2,5X6","PARAFUSO TORX M2,5 X 6",1.65,3.0,4.95,2021-03-01
32,5826023.0,40040350T012 RETA 4C 30° D=3.5X4X50X12,43.46,1.0,43.46,2021-03-01
33,2047504.0,HN44105522021S ESF 2C 15° HN7151 D=5X6X50X5RT,98.72,8.0,789.76,2021-03-01
34,3101 - 310390,"BROCA 3,90MM DIN 338N HSS",2.99,6.0,17.94,2021-03-01
35,4143978.0,VDS201A07500 WU25PD D=7.5 3XD SEM REFRI,102.78,6.0,616.68,2021-03-01
36,4143955.0,VDS201A05800 WU25PD D=5.8 3XD SEM REFRI,93.95,1.0,93.95,2021-03-01
37,3859336.0,"BDMT070308ER-ML TN6430 R0,8",20.63,25.0,515.75,2021-03-01
38,3638588.0,NSR2020K3 W,221.92,1.0,221.92,2021-03-01
39,4144501.0,VDS201A16500 WU25PD D=16.5 3XD SEM REFRI,368.24,1.0,368.24,2021-03-01
40,PTM2X5,PARAFUSO TORX M2 X 5,1.65,18.0,29.7,2021-03-01
41,3607302.0,NG3M350RK TN6025,29.07,2.0,58.14,2021-03-01
42,3607515.0,NG3M325RK TN6025,23.53,2.0,47.06,2021-03-01
43,5102 - 502002,"ALARGADOR 3,00MM MANUAL DIN 206B H7",25.08,1.0,25.08,2021-03-01
44,6171557.0,TCF160R3SL25MB WTB TOP CUT FOUR D=16 3XD,430.0,1.0,430.0,2021-03-01
45,3102 - 321100,"BROCA 11,00MM DIN 338N HSS",23.32,4.0,93.28,2021-03-01
46,4166436.0,CNMG1204127N TN20K,17.29,4.0,69.16,2021-03-01
47,528.0,FRESA TOROIDAL 55HRC 4C D=12X12X75X30 R0.5,171.82,2.0,343.64,2021-03-01
48,2029266.0,12147549000 W CHAVE TORX T7,15.07,2.0,30.14,2021-03-01
49,2018429.0,3ER15ISO TN6025,31.63,10.0,316.3,2021-03-01
50,837.0,GRAMPO FIXACAO LATERAL M 12 - (PAR),270.0,1.0,270.0,2021-03-01
51,3101 - 310380,"BROCA 3,80MM DIN 338N HSS",3.77,3.0,11.31,2021-03-01
52,2952526.0,CNGA120404T02020 CW2015,22.43,1.0,22.43,2021-03-01
53,2952527.0,CNGA120408T02020 CW2015,22.43,1.0,22.43,2021-03-01
54,3101 - 310450,"BROCA 4,50MM DIN 338N HSS",4.27,13.0,55.51,2021-03-01
55,2256496.0,7N2202021RJ RETA 2C 30° D=2X4X16X50 LONG NECK,104.73,1.0,104.73,2021-03-01
56,127.0,FRESA ESFERICA LN 2C D=0.8X1.2X10X50 H4 MICRO,83.38,1.0,83.38,2021-03-01
57,11ER030,11ER030M D=3,19.86,1.0,19.86,2021-03-01
58,333250.0,"BROCA DE CENTRO - DIN 333A - 2,50X6,30MM",8.63,2.0,17.26,2021-03-01
59,23606.0,SIR 0025 16,120.0,1.0,120.0,2021-03-01
60,1/8MAN,MACHO 1/8 *MANUAL C/3 PÇS,33.06,1.0,33.06,2021-03-01
61,3477329.0,70N716006MT RETA 6C 20° X-FEED D=16X16X48X110,591.07,1.0,591.07,2021-03-01
62,3101 - 320360,BROCA 1/4'' MM DIN 338N HSS,5.77,5.0,28.85,2021-03-01
63,3101 - 311150,"BROCA 11,50MM DIN 338N HSS",22.23,4.0,88.92,2021-03-01
64,3101 - 310330,"BROCA 3,30MM DIN 338N HSS",3.82,3.0,11.46,2021-03-01
65,3101 - 310880,"BROCA 8,80MM DIN 338N HSS",13.18,4.0,52.72,2021-03-01
66,1146.0,CHAVE ER-11 - PARA PORCA TIPO M CASTELO,21.26,1.0,21.26,2021-03-01
67,6101 - 104010,"MACHO M4 X 0,70MM*MANUAL C/3 PÇS",47.06,1.0,47.06,2021-03-01
68,6425362.0,XNPU100408SRMM WS40PM,23.35,5.0,116.75,2021-03-01
69,6425421.0,XNGU100408ERML WU10PM,29.43,40.0,1177.2,2021-03-01
70,32ER020,32ER020M ER D=2,38.67,2.0,77.34,2021-03-01
71,4163217.0,TDS403A06000 WP20PD D=6.0 8XD COM REFRI,341.85,1.0,341.85,2021-03-01
72,5202 - 504012,"ALARGADOR 5,00MM MAQUINA DIN 212D H7",30.44,1.0,30.44,2021-03-01
73,98574RD,M170D032Z02H25L150 RDPX1204,110.0,2.0,220.0,2021-03-01
74,1148.0,CHAVE ER-32 - PARA PORCA TIPO T2 (4 PONTAS),33.27,1.0,33.27,2021-03-01
75,1174.0,5512.090.1 BUCHA 16 /VBMT 16,9.0,1.0,9.0,2021-03-01
76,1655150.0,400116006RT ESF 2C 30° D=16X16X89X32,215.66,7.0,1509.62,2021-03-01
77,2967620.0,17066212000 TN2525 ESF 2C 30° D=12X12X75X12,125.17,3.0,375.51,2021-03-01
78,1021337.0,"MS1152 PARAFUSO M2,2",4.03,6.0,24.18,2021-03-01
79,338065.0,BROCA MD D=6.5X63X101 H6.5 DIN 338,80.0,1.0,80.0,2021-03-01
80,3607151.0,NG2M140RK TN6010,28.12,10.0,281.2,2021-03-01
81,20068.0,M17OD032Z03M16 RDPX12T3,180.0,1.0,180.0,2021-03-01
82,1656296.0,402404001RT RETA 4C 30° D=4X4X31X75,61.38,1.0,61.38,2021-03-01
83,20941.0,MWLNR 2020 K08 - EXT DIR WNMG0804,90.0,1.0,90.0,2021-03-01
84,3869580.0,CNGN120416T01020 CW3020,33.45,9.0,301.05,2021-03-01
85,3781765.0,CPGT04T1043 TN7135,20.41,10.0,204.1,2021-03-01
86,2042470.0,MTJNR 2525 M16 - EXT DIR TNMG1604,100.0,2.0,200.0,2021-03-01
87,232006.0,MTJNL 2525 M16 - EXT ESQ TNMG1604,100.0,1.0,100.0,2021-03-01
88,531.0,FRESA TOROIDAL 55HRC 4C D=3X4X50X8 R0.5,26.0,3.0,78.0,2021-03-01
89,640.0,FRESA RETA 55HRC 2C D=4X4X50X11,28.62,2.0,57.24,2021-03-01
90,2047689.0,MTJNR 2020 K16 - EXT DIR TNMG1604,90.0,1.0,90.0,2021-03-01
91,5550600.0,FRESA TOROIDAL 55HRC 4C D=6X15X50 H6 R0.5,59.65,2.0,119.3,2021-03-01
92,536.0,FRESA TOROIDAL 55HRC 4C D=6X6X75X15 R0.5,60.5,1.0,60.5,2021-03-01
93,5550800.0,FRESA TOROIDAL 55HRC 4C D=8X8X60X20 R0.5,93.36,3.0,280.08,2021-03-01
